"sample","condition"
"[1] 20241018_nElute_tims1_JM_WP_8cell_C_0min_1_Slot1-01_1_8974.d.PG.Log2Quantity","Base"
"[2] 20241018_nElute_tims1_JM_WP_8cell_C_0min_2_Slot1-01_1_8988.d.PG.Log2Quantity","Base"
"[3] 20241018_nElute_tims1_JM_WP_8cell_C_0min_3_Slot1-01_1_9006.d.PG.Log2Quantity","Base"
"[4] 20241018_nElute_tims1_JM_WP_8cell_C_0min_4_Slot1-25_1_9024.d.PG.Log2Quantity","Base"
"[5] 20241018_nElute_tims1_JM_WP_8cell_C_0min_5_Slot1-01_1_9041.d.PG.Log2Quantity","Base"
"[6] 20241018_nElute_tims1_JM_WP_8cell_C_0min_6_Slot1-25_1_9056.d.PG.Log2Quantity","Base"
"[7] 20241018_nElute_tims1_JM_WP_8cell_C_5min_1_Slot1-13_1_8972.d.PG.Log2Quantity","Base"
"[8] 20241018_nElute_tims1_JM_WP_8cell_C_5min_2_Slot1-13_1_8990.d.PG.Log2Quantity","Base"
"[9] 20241018_nElute_tims1_JM_WP_8cell_C_5min_3_Slot1-13_1_9014.d.PG.Log2Quantity","Base"
"[10] 20241018_nElute_tims1_JM_WP_8cell_C_5min_4_Slot1-37_1_9026.d.PG.Log2Quantity","Base"
"[11] 20241018_nElute_tims1_JM_WP_8cell_C_5min_5_Slot1-13_1_9040.d.PG.Log2Quantity","Base"
"[12] 20241018_nElute_tims1_JM_WP_8cell_C_5min_6_Slot1-37_1_9063.d.PG.Log2Quantity","Base"
"[13] 20241018_nElute_tims1_JM_WP_8cell_d23_0min_1_Slot1-03_1_8982.d.PG.Log2Quantity","Base"
"[14] 20241018_nElute_tims1_JM_WP_8cell_d23_0min_2_Slot1-03_1_8987.d.PG.Log2Quantity","Base"
"[15] 20241018_nElute_tims1_JM_WP_8cell_d23_0min_3_Slot1-03_1_9015.d.PG.Log2Quantity","Base"
"[16] 20241018_nElute_tims1_JM_WP_8cell_d23_0min_4_Slot1-27_1_9029.d.PG.Log2Quantity","Base"
"[17] 20241018_nElute_tims1_JM_WP_8cell_d23_0min_5_Slot1-03_1_9048.d.PG.Log2Quantity","Base"
"[18] 20241018_nElute_tims1_JM_WP_8cell_d23_0min_6_Slot1-27_1_9057.d.PG.Log2Quantity","Base"
"[19] 20241018_nElute_tims1_JM_WP_8cell_d23_5min_1_Slot1-15_1_8977.d.PG.Log2Quantity","Base"
"[20] 20241018_nElute_tims1_JM_WP_8cell_d23_5min_2_Slot1-15_1_8989.d.PG.Log2Quantity","Base"
"[21] 20241018_nElute_tims1_JM_WP_8cell_d23_5min_3_Slot1-15_1_9004.d.PG.Log2Quantity","Base"
"[22] 20241018_nElute_tims1_JM_WP_8cell_d23_5min_4_Slot1-39_1_9027.d.PG.Log2Quantity","Base"
"[23] 20241018_nElute_tims1_JM_WP_8cell_d23_5min_5_Slot1-15_1_9050.d.PG.Log2Quantity","Base"
"[24] 20241018_nElute_tims1_JM_WP_8cell_d23_5min_6_Slot1-39_1_9058.d.PG.Log2Quantity","Base"
"[25] 20241018_nElute_tims1_JM_WP_8cell_d56_0min_1_Slot1-04_1_8969.d.PG.Log2Quantity","Base"
"[26] 20241018_nElute_tims1_JM_WP_8cell_d56_0min_2_Slot1-04_1_8996.d.PG.Log2Quantity","Base"
"[27] 20241018_nElute_tims1_JM_WP_8cell_d56_0min_3_Slot1-04_1_9003.d.PG.Log2Quantity","Base"
"[28] 20241018_nElute_tims1_JM_WP_8cell_d56_0min_4_Slot1-28_1_9023.d.PG.Log2Quantity","Base"
"[29] 20241018_nElute_tims1_JM_WP_8cell_d56_0min_5_Slot1-04_1_9035.d.PG.Log2Quantity","Base"
"[30] 20241018_nElute_tims1_JM_WP_8cell_d56_0min_6_Slot1-28_1_9055.d.PG.Log2Quantity","Base"
"[31] 20241018_nElute_tims1_JM_WP_8cell_d56_5min_1_Slot1-16_1_8976.d.PG.Log2Quantity","Base"
"[32] 20241018_nElute_tims1_JM_WP_8cell_d56_5min_2_Slot1-16_1_8992.d.PG.Log2Quantity","Base"
"[33] 20241018_nElute_tims1_JM_WP_8cell_d56_5min_3_Slot1-16_1_9012.d.PG.Log2Quantity","Base"
"[34] 20241018_nElute_tims1_JM_WP_8cell_d56_5min_4_Slot1-40_1_9022.d.PG.Log2Quantity","Base"
"[35] 20241018_nElute_tims1_JM_WP_8cell_d56_5min_5_Slot1-16_1_9047.d.PG.Log2Quantity","Base"
"[36] 20241018_nElute_tims1_JM_WP_8cell_d56_5min_6_Slot1-40_1_9066.d.PG.Log2Quantity","Base"
"[37] 20241018_nElute_tims1_JM_WP_8cell_dQ_0min_1_Slot1-02_1_8980.d.PG.Log2Quantity","Base"
"[38] 20241018_nElute_tims1_JM_WP_8cell_dQ_0min_2_Slot1-02_1_8985.d.PG.Log2Quantity","Base"
"[39] 20241018_nElute_tims1_JM_WP_8cell_dQ_0min_3_Slot1-02_1_9002.d.PG.Log2Quantity","Base"
"[40] 20241018_nElute_tims1_JM_WP_8cell_dQ_0min_4_Slot1-26_1_9031.d.PG.Log2Quantity","Base"
"[41] 20241018_nElute_tims1_JM_WP_8cell_dQ_0min_5_Slot1-02_1_9045.d.PG.Log2Quantity","Base"
"[42] 20241018_nElute_tims1_JM_WP_8cell_dQ_0min_6_Slot1-26_1_9062.d.PG.Log2Quantity","Base"
"[43] 20241018_nElute_tims1_JM_WP_8cell_dQ_5min_1_Slot1-14_1_8967.d.PG.Log2Quantity","Base"
"[44] 20241018_nElute_tims1_JM_WP_8cell_dQ_5min_2_Slot1-14_1_8995.d.PG.Log2Quantity","Base"
"[45] 20241018_nElute_tims1_JM_WP_8cell_dQ_5min_3_Slot1-14_1_9008.d.PG.Log2Quantity","Base"
"[46] 20241018_nElute_tims1_JM_WP_8cell_dQ_5min_4_Slot1-38_1_9018.d.PG.Log2Quantity","Base"
"[47] 20241018_nElute_tims1_JM_WP_8cell_dQ_5min_5_Slot1-14_1_9042.d.PG.Log2Quantity","Base"
"[48] 20241018_nElute_tims1_JM_WP_8cell_dQ_5min_6_Slot1-38_1_9060.d.PG.Log2Quantity","Base"
"[49] 20241018_nElute_tims1_JM_WP_8cell_R2_0min_1_Slot1-05_1_8981.d.PG.Log2Quantity","Base"
"[50] 20241018_nElute_tims1_JM_WP_8cell_R2_0min_2_Slot1-05_1_8991.d.PG.Log2Quantity","Base"
"[51] 20241018_nElute_tims1_JM_WP_8cell_R2_0min_3_Slot1-05_1_9005.d.PG.Log2Quantity","Base"
"[52] 20241018_nElute_tims1_JM_WP_8cell_R2_0min_4_Slot1-29_1_9032.d.PG.Log2Quantity","Base"
"[53] 20241018_nElute_tims1_JM_WP_8cell_R2_0min_5_Slot1-05_1_9036.d.PG.Log2Quantity","Base"
"[54] 20241018_nElute_tims1_JM_WP_8cell_R2_0min_6_Slot1-29_1_9052.d.PG.Log2Quantity","Base"
"[55] 20241018_nElute_tims1_JM_WP_8cell_R2_5min_1_Slot1-17_1_8973.d.PG.Log2Quantity","Base"
"[56] 20241018_nElute_tims1_JM_WP_8cell_R2_5min_2_Slot1-17_1_8998.d.PG.Log2Quantity","Base"
"[57] 20241018_nElute_tims1_JM_WP_8cell_R2_5min_3_Slot1-17_1_9016.d.PG.Log2Quantity","Base"
"[58] 20241018_nElute_tims1_JM_WP_8cell_R2_5min_4_Slot1-41_1_9019.d.PG.Log2Quantity","Base"
"[59] 20241018_nElute_tims1_JM_WP_8cell_R2_5min_5_Slot1-17_1_9044.d.PG.Log2Quantity","Base"
"[60] 20241018_nElute_tims1_JM_WP_8cell_R2_5min_6_Slot1-41_1_9059.d.PG.Log2Quantity","Base"
"[61] 20241018_nElute_tims1_JM_WP_8cell_R3_0min_1_Slot1-06_1_8970.d.PG.Log2Quantity","Base"
"[62] 20241018_nElute_tims1_JM_WP_8cell_R3_0min_2_Slot1-06_1_8984.d.PG.Log2Quantity","Base"
"[63] 20241018_nElute_tims1_JM_WP_8cell_R3_0min_3_Slot1-06_1_9010.d.PG.Log2Quantity","Base"
"[64] 20241018_nElute_tims1_JM_WP_8cell_R3_0min_4_Slot1-30_1_9028.d.PG.Log2Quantity","Base"
